id,condition,AttentionCheckQ,Question1Q,Question2Q,Question3Q,Question4Q,Question5Q,Question7Q,Question8Q,Question9Q,Question10Q,Question11Q,Question12Q,Question13Q,Question14Q,Question1Qerror,Question2Qerror,Question3Qerror,Question4Qerror,Question5Qerror,Question7Qerror,Question8Qerror,Question9Qerror,Question10Qerror,Question11Qerror,Question12Qerror,Question13Qerror,Question14Qerror,PostQ1,PostQ2,PostQ3,PostQ4,Question1Q_counter,Question2Q_counter,Question3Q_counter,Question4Q_counter,Question5Q_counter,Question7Q_counter,Question8Q_counter,Question9Q_counter,Question10Q_counter,Question11Q_counter,Question12Q_counter,Question13Q_counter,Question14Q_counter,Question1Q_timer,Question2Q_timer,Question3Q_timer,Question4Q_timer,Question5Q_timer,Question7Q_timer,Question8Q_timer,Question9Q_timer,Question10Q_timer,Question11Q_timer,Question12Q_timer,Question13Q_timer,Question14Q_timer,Question1Q_timerfirst,Question2Q_timerfirst,Question3Q_timerfirst,Question4Q_timerfirst,Question5Q_timerfirst,Question7Q_timerfirst,Question8Q_timerfirst,Question9Q_timerfirst,Question10Q_timerfirst,Question11Q_timerfirst,Question12Q_timerfirst,Question13Q_timerfirst,Question14Q_timerfirst
A2AWBDW9V1E9KT,secstream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,2,1,1,1,4,4,4,4,1,1,3,1,1,1,1,1,1,10,3,2,2,36054,35120,38134,28549,32767,23837,37167,65762,38153,120711,65308,30765,45492,36054,35120,18694,28549,32767,23837,37167,65762,38153,53216,39319,18380,29035
A2KG59JUICJLP0,treemap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,1,1,0,4,1,2,0,2,2,2,2,2,2,4,1,1,1,2,2,1,5,4,5,1,26892,15382,26308,19873,8025,23926,31518,34425,17560,102788,35705,28166,13176,16888,11948,15341,19873,8025,23926,28529,30851,17560,47405,17942,17542,13176
AW2LIJBEY8QUE,stream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6,0,2,1,0,5,1,4,0,1,1,1,1,4,2,3,1,17,1,3,2,1,6,2,8,1,2,4,21416,15383,124106,10844,24466,15074,10708,35435,20431,32728,44564,18102,25013,13885,15383,34563,10844,9883,9971,10708,23456,18055,14848,44564,15783,17931
A3GNQDFPZALU92,secstream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,1,0,0,0,1,1,3,1,2,1,2,2,3,3,2,1,5,2,1,1,1,2,2,7,4,4,2,20653,9023,32486,12358,14871,10206,9829,17438,24143,36286,49247,23110,17854,16446,9023,18327,9357,14871,10206,9829,13319,20471,13422,30296,12022,14591
AAKL8L5X64LWD,treemap,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,NaN,2,1,1,2,0,0,2,1,0,0,4,4,4,4,1,1,0,3,2,2,3,1,1,2,2,1,1,115340,71681,300004,90210,14261,44274,48768,25569,26555,67102,40349,28223,17479,115340,71681,300004,82789,12256,23654,43206,25569,26555,48989,38205,28223,17479
A2HOUSKURBF8UA,treemap,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,6,1,1,0,0,2,1,1,0,4,2,2,2,1,1,1,2,4,3,3,1,1,5,3,2,1,18653,34623,30400,64029,296097,48131,72390,56029,42657,300003,138316,91687,18455,18653,34623,30399,34292,229592,38204,62467,56029,42657,168240,63998,71764,18455
A2TBXASXZIRNNW,stream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,0,1,1,3,2,1,1,4,1,1,1,1,2,2,7,2,2,1,2,2,4,7,4,3,5,17466,9997,15106,7061,17165,6020,7383,5712,8288,18170,11961,21556,12162,15723,8040,3148,5012,13255,6020,4840,2808,3035,6071,5941,18048,2673
AQ36OBO2GRA00,secstream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,1,0,1,4,4,5,3,1,1,2,2,1,1,1,1,1,1,2,1,2,51879,79361,40892,45991,15027,114169,35695,21677,94705,53582,64568,24708,26405,51879,79361,21803,26901,15027,114169,35695,21677,94705,53582,27523,24708,13360
A3ITZNJQUTIZ4C,treemap,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,6,1,3,0,1,3,0,0,0,2,2,3,2,3,1,2,3,11,4,13,1,3,9,1,1,1,198301,24851,34039,46871,222510,136133,91333,55907,48126,190652,94123,38377,30672,168253,24851,24881,36423,134813,120303,34995,55907,32519,153380,94123,38377,30672
A3LMI7ZDFO8JHR,stream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,2,1,2,1,2,2,0,2,4,1,1,1,1,1,2,1,2,2,2,4,2,14,12,1,4,6,29733,30346,14543,19063,21650,32271,36095,19293,122761,85059,20756,25588,52864,29733,19906,14543,11766,12263,27888,12314,15906,37922,46646,20756,17405,16534
A1EITLFAMKA61U,secstream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,2,2,2,4,0,0,2,2,1,1,2,2,2,2,3,1,4,3,3,2,8,1,1,55895,37268,30159,37835,43419,42236,127903,28491,118582,84901,123303,16697,15465,52030,21322,15694,20866,18352,42236,44684,22361,97052,63718,36244,16697,15465
A1RF7T0DE51BKN,treemap,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,2,1,1,0,1,0,0,4,0,1,0,2,2,1,1,1,1,2,2,3,1,2,1,1,3,1,10,1,13831,15924,33723,47539,72598,35335,94171,34370,50712,117932,42887,300007,19361,13831,15924,15623,27188,25475,35335,73125,34370,50712,43706,42887,26755,19361
ACSS93E03ZUGX,stream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,1,1,1,1,1,1,4,0,1,3,2,2,2,2,1,3,3,2,4,2,2,2,2,7,1,3,4,93584,61391,56398,98789,95208,111822,47110,70744,21554,131935,48501,55196,85867,93584,50971,40228,93454,69625,105247,42885,66330,15447,104570,48501,35195,70642
ATBIPUCO3EKS6,secstream,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,6,1,2,2,2,4,1,1,0,2,3,2,4,3,2,1,2,2,2,7,3,3,7,3,2,1,41602,68783,55686,49769,43570,61615,117663,49127,107875,119407,69884,46301,13443,23826,21442,55686,25098,34682,49274,56497,26886,30801,59962,44301,24386,13443
A1F1BIPJR11LSR,treemap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,2,0,0,7,1,1,0,4,4,4,4,2,1,1,1,1,1,5,1,1,8,2,2,1,57167,14400,10788,14201,13148,50340,86683,39332,24547,96168,18911,13134,9701,50805,14400,10788,14201,13148,50340,62673,39332,24547,44829,10509,9738,9701
A2PZ8MVVT6TQJM,stream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,7,5,1,1,3,2,2,2,2,1,2,9,3,3,5,2,3,3,12,2,16,2,16228,13538,61212,17106,24242,31960,12943,37290,33016,60927,21224,91037,21594,16228,9910,11645,11566,10619,7404,9112,19466,22640,16362,10723,13109,8978
A14NP6X071S7GK,secstream,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,0,6,1,1,1,4,4,4,4,2,3,3,2,7,4,3,6,1,7,2,2,8,34239,33241,46786,29707,96177,47089,39181,59994,17941,78239,14004,24119,64182,28411,14150,28597,13407,19327,21486,22813,15725,17941,13609,11687,21317,13624
A3VOSFN1XRFF01,treemap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,2,0,2,6,1,1,0,2,3,3,3,1,2,1,2,1,1,11,1,3,8,5,2,1,30422,49026,215484,35490,23780,43162,148083,53175,73433,93046,86736,74482,20131,30422,33901,215484,28467,23780,43162,64323,53175,45551,39805,47403,63110,20131
A1USDMJVT10CE4,stream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,5,0,3,3,2,2,2,2,2,1,10,2,3,2,2,2,3,6,1,6,4,8818,7907,37287,100736,24890,6922,39516,52810,38063,20211,6830,23581,28318,6929,7907,14925,98416,18306,5237,35478,17711,22875,10804,6830,10805,13786
A3862RIFFUV141,secstream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5,4,4,4,1,1,1,2,1,1,1,1,1,1,1,1,2,24317,40562,18657,33143,24160,34994,51521,42373,28252,50869,38597,18204,31784,24317,40562,18657,20871,24160,34994,51521,42373,28252,50869,38597,18204,18948
A62H1UZADLF7Q,treemap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,5,1,0,1,4,3,3,3,1,1,1,1,1,2,2,2,2,8,2,1,3,36314,43883,19764,20748,71948,58609,85516,40846,50389,93170,55613,19125,48847,36314,43883,19764,20748,71948,36894,78917,23476,29360,35960,50895,19125,27910
A2UIGDOLX5RV95,stream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,2,0,0,0,1,3,3,0,0,3,1,2,1,1,1,1,5,4,1,1,1,2,6,3,1,1,4,20740,21820,79376,37452,17468,21745,26102,22299,87600,73107,17657,25908,36061,20740,21820,19028,29512,17468,21745,26102,17816,35729,19007,17657,25908,18233
A39C1BN9ZSQ0R2,secstream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,0,1,1,1,0,2,0,0,0,4,2,2,2,1,5,2,3,1,4,4,3,1,6,1,1,1,28862,89123,36762,78755,52666,62874,52941,73775,60525,94268,38814,26283,18049,28862,72046,23658,40952,52666,43060,37613,52816,60525,62995,38814,26283,18049
A2W3A42TRMJ861,stream,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,3,2,2,2,1,1,5,1,1,1,0,1,2,2,3,2,1,3,2,3,3,2,3,2,2,5,2,1,2,49267,70234,300004,83182,64437,52239,195584,63418,25955,124713,56995,30692,42663,49267,54820,49905,52141,19411,45861,71902,51862,21134,46511,50090,30692,36512
A320QA9HJFUOZO,secstream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,0,0,0,1,0,1,1,3,0,0,0,2,4,2,2,1,6,1,1,1,2,1,2,3,6,1,1,1,15307,31292,18811,19398,17849,20271,24007,27626,46355,57280,29389,17630,15203,15307,14730,18811,19398,17849,18403,24007,25415,41951,43302,29389,17630,15203
A12GJUCS7AJ4K,treemap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,4,4,2,3,1,1,1,1,1,2,1,2,1,1,3,1,1,31488,27432,26380,34166,22043,73346,91702,65746,57834,62731,49315,29889,15680,31488,27432,26380,34166,22043,65057,91702,50428,57834,62731,26577,29889,15680
